ID,orig,dest,dist,time,speed
590,7,40,1.15,7.2,9.6
591,7,41,5.02,30.4,9.9
592,7,42,1.77,16.4,6.5
593,7,43,0.59,4.7,7.5
594,7,44,1.01,8.3,7.3
595,7,45,3.9,24.3,9.6
596,7,46,3.07,22.4,8.2
597,7,47,1.12,8.3,8.1
598,7,48,0.76,6.2,7.4
599,7,49,1.61,12.0,8.0
600,7,50,2.6,19.1,8.2
601,7,51,2.64,17.1,9.3
602,7,52,3.03,20.6,8.8
603,7,53,2.96,20.2,8.8
604,7,54,1.26,10.0,7.6
605,7,55,3.22,23.3,8.3
606,7,56,3.08,20.9,8.8
607,7,57,2.74,19.6,8.4
608,7,58,2.05,14.5,8.5
609,7,59,0.98,8.4,7.0
610,7,60,1.75,15.6,6.7
611,7,61,3.04,21.1,8.6
612,7,62,4.5,29.6,9.1
613,7,63,1.18,6.8,10.5
614,7,64,0.43,2.7,9.6
615,7,65,0.93,6.2,9.0
616,7,66,5.64,34.4,9.8
617,7,67,3.61,24.6,8.8
618,7,68,4.27,27.4,9.4
619,7,69,5.3,35.1,9.1
620,7,70,6.14,36.7,10.0
621,7,71,5.36,30.9,10.4
622,7,72,3.7,21.4,10.3
623,7,73,6.32,38.9,9.7
624,7,74,5.71,32.6,10.5
625,7,75,4.07,26.4,9.3
626,7,76,5.11,31.0,9.9
627,7,77,5.11,31.1,9.8
628,7,78,4.46,25.6,10.5
629,7,79,4.88,28.2,10.4
630,7,80,4.14,24.5,10.2
631,7,81,1.55,11.7,8.0
632,7,82,5.09,33.3,9.2
633,7,83,3.0,19.5,9.2
634,7,84,3.28,19.8,9.9
635,7,85,2.0,13.8,8.7
636,7,86,4.87,31.0,9.4
637,7,87,5.85,34.0,10.3
638,7,88,4.49,26.0,10.4
639,7,89,5.75,33.4,10.3
640,7,90,3.21,18.7,10.3
641,7,91,4.14,24.4,10.2
642,7,92,4.15,25.8,9.7
643,7,93,2.72,18.8,8.7
644,7,94,2.56,16.0,9.6
645,7,95,4.12,23.5,10.5
646,7,96,5.29,30.3,10.5
647,7,97,5.67,33.6,10.1
