ID,orig,dest,duration,distance
1558,81,108,1175,4994
1559,81,109,1237,5314
1560,10,97,766,2716
1561,10,96,1054,3667
1562,77,129,929,3776
1563,77,128,911,3799
1564,10,93,1699,6427
1565,10,92,2109,9127
1566,10,91,840,3321
1567,10,90,1126,5029
1568,77,123,2726,11563
1569,77,122,2764,11928
1570,77,121,2847,12612
1571,77,120,2950,13053
1572,77,127,1812,7592
1573,77,126,2363,10017
1574,77,125,2526,10678
1575,77,124,2856,12316
1576,106,142,3160,14578
1577,9,54,1253,5091
1578,9,55,877,3325
1579,9,56,1521,5280
1580,9,57,951,3542
1581,9,50,845,3735
1582,9,51,1423,4941
1583,9,52,670,2921
1584,9,53,1030,3083
1585,9,58,1036,4598
1586,9,59,1273,5240
1587,49,95,1114,5229
1588,49,94,1074,4786
1589,49,97,1386,6782
1590,49,96,1675,7733
1591,49,91,1062,4635
1592,49,90,824,3772
1593,49,93,1411,5649
1594,49,92,1830,7952
1595,49,99,438,1500
1596,49,98,924,4225
1597,90,117,894,3067
1598,32,119,546,2412
1599,32,118,1693,7548
1600,32,117,1179,4759
1601,32,116,874,3644
1602,32,115,1755,8009
1603,32,114,1466,5937
1604,32,113,1118,4544
1605,32,112,1028,4143
1606,32,111,1500,5946
1607,32,110,1223,5158
1608,74,124,2180,9162
1609,74,125,1850,7524
1610,74,126,1636,6861
1611,74,127,1086,4436
1612,74,120,2204,8406
1613,74,121,2101,7965
1614,74,122,2018,7281
1615,74,123,2050,8410
1616,105,137,2258,9331
1617,105,136,1705,6278
1618,105,135,1840,6963
1619,105,134,2542,10809
1620,74,128,761,3492
1621,105,132,2185,8362
1622,105,131,1888,7109
1623,105,130,2019,7948
1624,37,47,2267,9923
1625,37,46,1175,5754
1626,37,45,1216,5536
1627,37,44,2246,9952
1628,37,43,2367,10010
1629,37,42,1747,8059
1630,37,41,552,2225
1631,37,40,2343,10646
1632,37,49,1975,8807
1633,21,119,245,1170
1634,21,118,1395,6195
1635,118,140,1536,6359
1636,118,141,1598,6795
1637,118,142,1713,7398
1638,118,143,1461,5909
1639,118,144,1848,8840
1640,118,145,1600,7707
1641,57,113,1007,3932
1642,45,111,1442,5478
1643,45,110,1257,5337
1644,45,113,1060,4076
1645,45,112,966,3786
1646,45,115,1697,7541
1647,45,114,1408,5469
1648,72,95,407,1691
1649,72,94,778,3303
1650,45,119,484,2054
1651,45,118,1635,7080
1652,72,99,954,3365
1653,72,98,627,2743
1654,21,59,743,2930
1655,21,58,614,2554
1656,21,57,218,810
1657,21,56,735,2726
1658,21,55,239,697
1659,21,54,723,2782
1660,21,53,366,1079
1661,21,52,121,534
1662,21,51,477,1709
1663,21,50,311,1425
1664,23,128,897,3755
1665,23,129,1592,7744
1666,23,120,1969,8733
1667,23,121,1763,7680
1668,23,122,1620,6758
1669,23,123,1544,6575
1670,23,124,1675,7327
1671,23,125,1344,5689
1672,23,126,2033,8336
1673,23,127,1653,7250
1674,31,58,947,3728
1675,31,59,584,2012
1676,31,56,1288,4996
1677,31,57,1136,4607
1678,31,54,678,2454
1679,31,55,1475,5607
1680,31,52,1311,5301
1681,31,53,1292,5199
1682,31,50,1221,4618
1683,31,51,1059,4295
1684,124,127,1255,5304
1685,124,126,1207,5069
1686,124,125,332,1638
1687,124,129,2277,9901
1688,124,128,1871,7630
1689,102,113,1200,4244
1690,20,98,522,2260
1691,20,99,235,538
1692,20,94,669,2855
1693,20,95,1037,4701
1694,20,96,1445,6586
1695,20,97,1861,8695
1696,20,90,747,3244
1697,20,91,1089,4732
1698,20,92,1912,7840
1699,20,93,1493,5537
1700,54,66,1465,7054
1701,54,67,877,3786
1702,54,64,422,1922
1703,54,65,840,3705
1704,54,62,1179,5214
1705,54,63,697,2336
1706,54,60,554,2385
1707,54,61,669,2870
1708,54,68,1043,4842
1709,54,69,1506,6500
1710,66,136,1292,5057
1712,104,115,1742,7733
1713,104,116,989,3585
1714,104,117,1088,4346
1715,21,108,964,3845
1716,21,109,1027,4165
1717,41,107,2080,8505
1718,104,112,885,3805
1719,66,98,1814,7606
1720,66,99,1592,7127
1721,66,96,1227,4392
1722,66,97,938,3442
1723,66,94,1965,8167
1724,104,113,1378,5512
1725,66,92,2832,12373
1726,66,93,2421,9673
1727,66,90,1559,6685
1728,66,91,1273,4978
1729,45,82,813,3559
1730,45,83,1018,4082
1731,104,118,1679,7272
1732,45,80,985,3089
1733,104,119,980,3692
1734,4,59,485,1311
1735,4,58,466,1606
1736,21,102,430,1456
1737,4,53,828,2991
1738,4,52,522,2215
1739,4,51,400,1726
1740,21,103,139,670
1741,4,57,329,1604
1742,4,56,658,2743
1743,4,55,664,2563
1744,4,54,464,1647
1746,22,39,839,2901
1747,22,34,1534,6248
1748,22,35,267,933
1749,22,36,736,2897
1750,22,37,2295,11020
1751,22,30,1461,6021
1752,22,31,345,1441
1753,22,32,1494,6397
1754,22,33,1176,4649
1755,18,144,1215,5234
1756,18,145,972,3980
1757,27,79,1676,6642
1758,27,78,1874,8321
1759,18,140,1204,4715
1760,18,141,1239,5062
1761,18,142,1355,5722
1762,7,35,490,1673
1763,27,73,2011,8261
1764,27,72,1389,6206
1765,27,71,1841,7405
1766,27,70,1879,7963
1767,27,77,2209,9377
1768,27,76,1304,5112
1769,27,75,1195,4587
1770,27,74,1546,6448
1771,7,37,2518,11760
1772,7,31,204,706
1773,7,33,1399,5390
1774,25,97,1554,6310
1775,25,96,1394,5367
1776,63,111,944,4406
1777,9,75,904,2243
1778,63,110,2491,11348
1779,13,63,725,2716
1780,13,62,941,3674
1781,63,115,1282,6151
1782,93,116,1423,5191
1783,63,114,956,4464
1784,17,67,954,4054
1785,17,66,675,2929
1786,17,65,2323,10018
1787,17,64,1903,8235
1788,17,63,2156,8815
1789,17,62,1154,4831
1790,17,61,1350,5844
1791,17,60,1349,6374
1792,13,67,1191,3644
1793,63,116,811,2699
1794,17,69,867,3988
1795,13,66,1731,6682
1796,6,73,1595,7913
1797,6,72,719,1597
1798,6,71,1219,5779
1799,6,70,1573,7774
1800,6,77,1233,5385
1801,13,65,1253,4924
1802,6,75,987,4490
1803,6,74,1669,8103
1804,6,79,1053,5016
1805,13,64,949,3913
1806,25,99,821,3036
1807,66,116,1409,6798
1808,101,127,743,2801
1809,19,63,1556,5200
1810,32,143,2177,8751
1811,19,62,439,1460
1812,12,15,1811,7619
1813,66,117,1621,7408
1814,26,30,858,3775
1815,26,31,971,3627
1816,26,32,991,3982
1817,26,33,1032,3432
1818,26,34,898,3517
1819,66,118,2008,8442
1820,26,36,398,1333
1821,26,37,2288,10699
1823,26,39,135,534
1824,17,136,1195,4497
1825,17,137,769,2989
1826,17,134,1052,4467
1827,17,135,768,2774
1828,17,132,686,2070
1829,17,133,867,3338
1830,17,130,797,2751
1831,17,131,506,1954
1832,17,138,888,3409
1833,17,139,1175,5025
1834,43,141,2313,10528
1835,12,16,390,1750
1836,74,77,793,2873
1837,12,19,766,2528
1838,74,76,301,1464
1839,99,138,1477,6861
1840,99,139,1954,9090
1841,99,134,1831,8531
1842,99,135,1228,5588
1843,99,136,916,3725
1844,99,137,1565,7128
1845,99,130,1350,6211
1846,99,131,1515,6571
1847,99,132,1470,6569
1848,99,133,1673,7371
1849,52,59,798,2643
1850,52,58,546,2080
1851,76,79,476,2048
