ID,orig,dest,duration,distance
8127,7,64,161,694
8128,7,69,2106,8527
8129,7,68,1643,6869
8130,79,96,307,1438
8131,73,130,388,1405
8132,73,131,711,3084
8133,59,63,482,1481
8134,15,72,1714,8548
8135,15,73,704,2382
8136,15,70,600,2100
8137,73,133,219,1093
8138,15,76,886,3527
8139,15,77,1444,5120
8140,15,74,900,3344
8141,15,75,979,4052
8142,73,134,780,3637
8143,15,78,1149,4499
8144,15,79,944,3599
8145,73,135,541,2303
8146,79,94,1002,4189
8147,73,136,918,3449
8148,32,99,1150,4478
8149,32,98,1499,6713
8150,32,97,1142,4586
8151,32,96,1431,5536
8152,32,95,1563,7049
8153,73,137,497,2159
8154,32,93,1859,6422
8155,32,92,2269,9122
8156,32,91,1021,3694
8157,32,90,1273,5592
8158,73,138,647,2771
8159,73,139,903,4196
8160,30,144,2453,10841
8161,30,145,2210,9587
8162,30,142,2592,11329
8163,30,143,2354,9169
8164,30,140,2441,10322
8165,30,141,2477,10669
8166,46,109,943,3830
8167,46,108,1096,4138
8168,46,101,402,1671
8169,46,100,747,2476
8170,46,103,158,882
8171,46,102,520,1972
8172,46,105,923,3051
8173,46,104,910,3347
8174,46,107,1347,5075
8175,46,106,1223,4477
8176,17,143,1204,4540
8177,17,142,1359,5602
8178,17,141,1244,4942
8179,17,140,1208,4595
8180,17,145,977,3861
8181,17,144,1220,5115
8182,52,139,1774,7832
8183,52,138,1426,5600
8184,52,137,1367,5796
8185,52,136,815,2743
8186,52,135,949,3427
8187,52,134,1651,7273
8188,52,133,1647,6892
8189,52,132,1295,4827
8190,52,131,997,3573
8191,52,130,1128,4413
8192,113,118,874,3629
8193,113,119,553,2212
8194,113,114,357,1313
8195,113,115,936,4090
8196,113,116,125,560
8197,113,117,554,2229
8198,35,41,1376,6693
8199,35,40,394,1504
8200,35,43,352,1256
8201,116,129,1229,6172
8202,35,45,1009,4884
8203,35,44,294,1002
8204,35,47,386,1307
8205,35,46,891,3554
8206,35,49,270,1204
8207,35,48,209,807
8208,103,108,1081,4464
8209,103,109,1143,4784
8210,75,109,1673,6388
8211,75,108,1827,6696
8212,58,59,555,1848
8213,75,103,787,2632
8214,75,102,1247,4280
8215,75,101,787,2912
8216,75,100,1478,5034
8217,103,104,1383,5558
8218,40,87,1894,9400
8219,103,106,1283,4556
8220,103,107,1408,5155
8221,72,131,754,3277
8222,72,130,682,3017
8223,72,133,1024,4079
8224,72,132,849,3431
8225,72,135,462,1903
8226,72,134,1235,5582
8227,72,137,970,4178
8228,72,136,146,851
8229,72,139,1359,6141
8230,72,138,881,3911
8231,29,35,1644,7374
8232,29,34,1102,4267
8233,29,37,521,2737
8234,29,36,1337,5615
8235,29,31,2124,9221
8236,29,30,1271,5375
8237,29,33,873,3675
8238,29,32,1061,4416
8239,29,39,1801,7547
8241,111,116,578,2183
8242,111,117,483,1632
8243,75,78,507,2176
8244,75,79,510,2252
8245,75,76,109,524
8246,75,77,842,3232
8247,71,136,678,3146
8248,71,137,290,1205
8249,71,134,506,2547
8250,71,135,459,2085
8251,71,132,370,1487
8252,71,133,505,2187
8253,71,130,277,1205
8254,71,131,910,3835
8255,71,138,99,544
8256,71,139,521,2204
8257,25,31,1153,4434
8258,25,30,650,2953
8259,25,33,824,2610
8260,25,32,783,3160
8261,25,35,674,2586
8262,25,34,690,2695
8263,25,37,1723,7212
8264,25,36,320,1114
8265,25,39,128,435
8267,10,117,1342,6024
8268,10,116,821,4258
8269,10,115,1505,7741
8270,10,114,1216,5669
8271,10,113,868,4277
8272,10,112,1191,5408
8273,10,111,1250,5678
8274,10,110,744,3704
8275,10,119,628,2745
